event_id,employee_id,timestamp,file_name,file_sensitivity,action,file_size_mb
8525ea38-b667-49ef,EMP001,2026-04-13 11:09:38,doc_639.pdf,Public,Write,1.55
dc2b7637-1beb-42e5,EMP015,2026-04-13 15:40:28,doc_928.xlsx,Restricted,Write,3.8
a25462d5-ba16-44d8,EMP018,2026-04-13 16:15:42,doc_718.pdf,Public,Write,7.83
afffdc83-64d5-4493,EMP022,2026-04-13 09:52:09,doc_479.pdf,Internal,Read,7.97
59f6f133-4d43-4bc1,EMP022,2026-04-13 11:42:09,doc_669.xlsx,Public,Read,7.78
40762da2-d9a5-4c1b,EMP026,2026-04-13 12:18:52,doc_416.pdf,Internal,Read,6.46
8a5f5a39-9af0-4ea3,EMP029,2026-04-13 14:08:54,doc_267.xlsx,Public,Read,4.13
15cc20d5-3e04-4b1a,EMP029,2026-04-13 13:03:54,doc_400.docx,Public,Read,0.85
59a63634-e853-488c,EMP038,2026-04-13 14:22:14,doc_562.xlsx,Public,Read,2.13
470a707a-e2df-4b8d,EMP044,2026-04-13 16:47:41,doc_763.docx,Public,Write,4.16
69bcfa2c-48b7-4ac0,EMP044,2026-04-13 11:14:41,doc_532.xlsx,Public,Read,5.39
1d069bed-3b46-417c,EMP053,2026-04-13 10:05:14,doc_468.docx,Internal,Read,1.73
135a207d-8f4c-4a67,EMP053,2026-04-13 13:33:14,doc_684.docx,Public,Write,3.55
036a33ab-d9df-492b,EMP054,2026-04-13 11:19:52,doc_807.pdf,Public,Read,1.09
2864cd1e-c98b-4d79,EMP054,2026-04-13 09:39:52,doc_828.pdf,Confidential,Read,3.92
3b971f59-5856-4816,EMP055,2026-04-13 16:18:41,doc_645.xlsx,Public,Write,0.56
020ab202-7e59-4ee6,EMP055,2026-04-13 14:05:41,doc_332.xlsx,Public,Read,6.66
6ecd784b-92da-47a2,EMP061,2026-04-13 16:49:39,doc_393.xlsx,Internal,Write,0.44
50d5b8a1-b77b-45a4,EMP061,2026-04-13 17:25:39,doc_390.xlsx,Public,Write,1.3
a9f729bd-9caa-48b8,EMP062,2026-04-13 14:37:48,doc_525.xlsx,Public,Write,0.37
00a33dae-6f15-48b6,EMP066,2026-04-13 16:00:15,doc_462.xlsx,Confidential,Read,2.43
239b6786-f12d-49a4,EMP069,2026-04-13 10:57:23,doc_839.xlsx,Public,Read,0.61
ceaef660-9525-4bd2,EMP078,2026-04-13 13:17:08,doc_478.pdf,Public,Read,7.73
49ab8dab-6bec-4d3b,EMP083,2026-04-13 15:16:54,doc_560.pdf,Public,Read,0.48
bb4e83d7-57c3-4979,EMP083,2026-04-13 14:55:54,doc_348.pdf,Public,Read,7.26
5d85631e-2034-4066,EMP084,2026-04-13 11:28:39,doc_637.docx,Confidential,Read,0.24
a1c00c2d-34bb-467f,EMP084,2026-04-13 16:30:39,doc_257.docx,Public,Read,6.54
787c1621-90dc-4319,EMP086,2026-04-13 11:12:59,doc_144.docx,Public,Read,1.42
933aa430-b4d0-4b56,EMP090,2026-04-13 13:36:41,doc_570.docx,Internal,Read,1.47
c7e66882-6459-4725,EMP093,2026-04-13 16:20:19,doc_144.docx,Public,Read,4.09
c200502a-3a87-4730,EMP093,2026-04-13 11:31:19,doc_208.docx,Public,Write,3.17
9a8e9ea2-968d-4db1,EMP094,2026-04-13 09:58:45,doc_910.pdf,Internal,Write,3.97
e7e28520-d494-440e,EMP094,2026-04-13 12:49:45,doc_937.pdf,Internal,Write,4.26
0a90efa7-887c-4e30,EMP111,2026-04-13 13:29:48,doc_551.pdf,Confidential,Write,5.66
d0dccb0d-1155-48f7,EMP111,2026-04-13 14:06:48,doc_522.docx,Internal,Read,4.16
10461f13-f82a-4dd7,EMP114,2026-04-13 14:20:10,doc_976.xlsx,Public,Write,2.79
3ce6055c-6bb8-4c3f,EMP114,2026-04-13 12:40:10,doc_683.xlsx,Public,Read,1.24
e9134472-1c04-4a0c,EMP125,2026-04-13 13:52:48,doc_219.xlsx,Public,Write,6.09
9979f4c2-5d2b-4a43,EMP127,2026-04-13 13:18:47,doc_996.docx,Public,Read,7.82
121771ff-fa23-4ec4,EMP127,2026-04-13 14:14:47,doc_512.docx,Public,Read,0.94
0c8f2fde-befc-409d,EMP130,2026-04-13 09:07:48,doc_394.docx,Public,Read,5.26
e8b45dfe-2aa7-45d7,EMP134,2026-04-13 10:46:20,doc_730.pdf,Internal,Read,3.93
c66b451f-3d26-4259,EMP134,2026-04-13 13:24:20,doc_888.docx,Public,Read,7.07
b1ac79d7-9bad-4305,EMP135,2026-04-13 14:08:42,doc_171.pdf,Public,Write,1.06
91671c10-2b28-412a,EMP138,2026-04-13 12:21:25,doc_954.xlsx,Public,Write,1.34
3b6378a0-16f3-4d30,EMP140,2026-04-13 10:57:56,doc_265.docx,Public,Write,2.33
585419e8-2e2d-498a,EMP140,2026-04-13 16:32:56,doc_286.docx,Public,Read,1.61
d974fd2f-05d5-4067,EMP142,2026-04-13 10:23:22,doc_214.docx,Public,Read,3.22
45dacba7-3c21-4508,EMP142,2026-04-13 14:16:22,doc_859.pdf,Public,Read,3.75
98d31dce-c705-4b40,EMP149,2026-04-13 13:28:38,doc_209.xlsx,Public,Write,1.05
d914393e-a113-4846,EMP004,2026-04-14 12:22:01,doc_242.docx,Public,Write,7.66
067f00cb-04fe-44b9,EMP004,2026-04-14 16:37:01,doc_502.docx,Internal,Read,2.08
08066c2c-33c0-46c3,EMP015,2026-04-14 15:03:08,doc_649.xlsx,Internal,Write,6.38
f667a312-5aaf-4031,EMP022,2026-04-14 18:44:50,doc_182.docx,Public,Read,7.14
0e85c8bc-2a99-45a2,EMP023,2026-04-14 09:30:53,doc_673.xlsx,Public,Write,0.32
0c5e161f-8873-40a1,EMP023,2026-04-14 14:00:53,doc_852.xlsx,Public,Read,4.88
26811d14-724f-43b4,EMP031,2026-04-14 17:49:14,doc_175.docx,Public,Read,4.93
782b38fc-5830-4c96,EMP031,2026-04-14 13:17:14,doc_195.docx,Public,Read,6.47
517ee5c1-4123-4e84,EMP039,2026-04-14 15:33:45,doc_777.xlsx,Internal,Write,4.23
18809784-8569-4960,EMP039,2026-04-14 17:30:45,doc_292.xlsx,Public,Write,3.74
1424c143-c05f-42eb,EMP043,2026-04-14 16:48:07,doc_955.pdf,Public,Read,3.02
8366ef90-7ae5-473a,EMP045,2026-04-14 12:47:42,doc_846.xlsx,Public,Write,1.47
b0b9a2b3-08c4-45ff,EMP045,2026-04-14 15:27:42,doc_941.xlsx,Public,Read,0.75
39979a89-c0cd-47d7,EMP048,2026-04-14 15:50:10,doc_840.xlsx,Public,Write,0.97
9138a44b-cc80-486e,EMP050,2026-04-14 09:20:40,doc_450.pdf,Internal,Read,3.58
45fbc514-a56c-4529,EMP054,2026-04-14 09:32:02,doc_672.docx,Public,Read,2.63
96c1138f-36fe-4ab6,EMP060,2026-04-14 13:45:37,doc_141.xlsx,Confidential,Write,1.35
8ed1a9b0-d7dd-463b,EMP069,2026-04-14 12:17:48,doc_947.xlsx,Public,Write,2.56
9dbdf0f3-9170-4cd2,EMP080,2026-04-14 15:31:13,doc_603.xlsx,Public,Read,0.14
0a9d8c49-586a-4f09,EMP080,2026-04-14 09:15:13,doc_185.docx,Public,Write,3.97
a5042b27-5aef-4a09,EMP082,2026-04-14 12:58:37,doc_263.pdf,Public,Write,2.84
5f486dc0-9bbc-402d,EMP085,2026-04-14 13:56:46,doc_830.docx,Internal,Write,2.07
e7e7cdc0-6eab-4582,EMP085,2026-04-14 12:09:46,doc_338.xlsx,Internal,Read,7.71
25476a59-58a6-4e81,EMP087,2026-04-14 17:07:12,doc_124.xlsx,Public,Read,1.08
7f1d152c-c364-43db,EMP087,2026-04-14 16:39:12,doc_684.pdf,Public,Write,7.97
df004dd6-58c0-4f5e,EMP091,2026-04-14 15:48:22,doc_143.pdf,Public,Write,7.26
5c604fd4-5559-456a,EMP102,2026-04-14 12:18:41,doc_589.docx,Public,Read,7.87
e6a428e3-488b-4e62,EMP102,2026-04-14 14:14:41,doc_223.xlsx,Public,Write,5.52
1023eb21-a49b-468b,EMP104,2026-04-14 09:30:11,doc_692.xlsx,Confidential,Read,7.73
874ff1ff-c9af-4953,EMP104,2026-04-14 10:43:11,doc_621.xlsx,Internal,Read,3.86
4fe388df-86ef-4421,EMP112,2026-04-14 14:43:41,doc_536.docx,Public,Write,5.2
322676e0-a55b-4782,EMP113,2026-04-14 10:35:29,doc_869.docx,Public,Read,2.95
cb9605c4-21f2-4c4f,EMP124,2026-04-14 15:40:11,doc_280.xlsx,Public,Read,3.61
92f62ede-ae41-4e9f,EMP126,2026-04-14 11:43:53,doc_594.pdf,Internal,Read,0.14
1fbf7cdc-d10e-4d2a,EMP127,2026-04-14 15:05:30,doc_692.xlsx,Internal,Read,4.96
2dbba9ef-2dbd-417f,EMP127,2026-04-14 11:09:30,doc_874.docx,Restricted,Write,5.84
d81435a7-3878-449d,EMP129,2026-04-14 16:02:18,doc_686.xlsx,Public,Read,6.36
1c0fb7f4-9b26-4c9e,EMP130,2026-04-14 10:34:20,doc_137.xlsx,Public,Write,0.88
f287161d-254f-448c,EMP137,2026-04-14 12:32:04,doc_177.docx,Public,Write,1.15
373361f2-c863-4ac3,EMP137,2026-04-14 17:46:04,doc_625.xlsx,Internal,Write,4.42
3400c5c6-b7e2-4f5c,EMP139,2026-04-14 14:11:45,doc_851.xlsx,Public,Read,4.48
