event_id,employee_id,timestamp,device_id,login_type,is_after_hours,location,is_known_device
2db8d6b7-19b4-470b,EMP001,2026-04-13 09:33:38,DEV-001-101,Interactive,False,Tokyo,True
fe2e5363-3883-4ccb,EMP015,2026-04-13 10:34:28,DEV-015-101,Interactive,False,Bengaluru,True
76d73a95-3540-4c54,EMP018,2026-04-13 08:52:42,DEV-018-101,Interactive,False,New York,True
1f41bef4-5e3a-4f17,EMP022,2026-04-13 09:15:09,DEV-022-101,Interactive,False,Tokyo,True
7b0ead7e-36b0-47f2,EMP026,2026-04-13 10:15:52,DEV-026-101,Interactive,False,San Francisco,True
096bf16e-3e6d-4b53,EMP029,2026-04-13 10:30:54,DEV-029-101,Interactive,False,New York,True
7cf3574a-febb-486b,EMP038,2026-04-13 10:27:14,DEV-038-101,Interactive,False,San Francisco,True
29f4f080-fd09-42cb,EMP044,2026-04-13 09:55:41,DEV-044-101,Interactive,False,San Francisco,True
2ce53f70-73e4-4e04,EMP053,2026-04-13 08:49:14,DEV-053-101,Interactive,False,San Francisco,True
5c104b1e-9648-4f8f,EMP054,2026-04-13 08:19:52,DEV-054-101,Interactive,False,Tokyo,True
8758d2fd-433d-4da3,EMP055,2026-04-13 08:38:41,DEV-055-101,Interactive,False,London,True
93e6b39d-3f40-457c,EMP061,2026-04-13 10:46:39,DEV-061-101,Interactive,False,Tokyo,True
a5bbab3e-94aa-4154,EMP062,2026-04-13 08:47:48,DEV-062-101,Interactive,False,London,True
17013913-bd21-4c3c,EMP066,2026-04-13 09:51:15,DEV-066-101,Interactive,False,London,True
21be6059-3a21-450a,EMP069,2026-04-13 08:30:23,DEV-069-101,Interactive,False,New York,True
7c7ca4ee-1037-4b10,EMP078,2026-04-13 10:30:08,DEV-078-101,Interactive,False,London,True
85bee971-b9b8-4807,EMP083,2026-04-13 08:21:54,DEV-083-101,Interactive,False,Tokyo,True
5cef8f73-af27-4b3b,EMP084,2026-04-13 08:30:39,DEV-084-101,Interactive,False,San Francisco,True
7207b881-e828-4058,EMP086,2026-04-13 10:14:59,DEV-086-101,Interactive,False,San Francisco,True
54aafc93-cc29-415f,EMP090,2026-04-13 10:10:41,DEV-090-101,Interactive,False,Bengaluru,True
74a47e74-c234-4acb,EMP093,2026-04-13 10:06:19,DEV-093-101,Interactive,False,San Francisco,True
874fa2a6-8705-43c9,EMP094,2026-04-13 08:24:45,DEV-094-101,Interactive,False,Bengaluru,True
5e9dc641-9a48-4dd9,EMP111,2026-04-13 10:06:48,DEV-111-101,Interactive,False,New York,True
a8eaccfc-d1ae-4fa8,EMP114,2026-04-13 09:19:10,DEV-114-101,Interactive,False,London,True
7e4de600-52d7-4eba,EMP125,2026-04-13 08:25:48,DEV-125-101,Interactive,False,Bengaluru,True
e56c5a75-869d-4052,EMP127,2026-04-13 10:45:47,DEV-127-101,Interactive,False,San Francisco,True
7f7c9ec2-00bc-49ae,EMP130,2026-04-13 08:41:48,DEV-130-101,Interactive,False,Bengaluru,True
07e91c52-f997-4903,EMP134,2026-04-13 09:24:20,DEV-134-101,Interactive,False,London,True
75247799-5635-42e8,EMP135,2026-04-13 09:37:42,DEV-135-101,Interactive,False,London,True
8e22068e-0bd6-4567,EMP138,2026-04-13 08:57:25,DEV-138-101,Interactive,False,London,True
bb1a9001-7659-489a,EMP140,2026-04-13 09:07:56,DEV-140-101,Interactive,False,New York,True
9f7f0532-d30d-488a,EMP142,2026-04-13 08:55:22,DEV-142-101,Interactive,False,San Francisco,True
7420525d-22e1-4f56,EMP149,2026-04-13 09:53:38,DEV-149-101,Interactive,False,New York,True
a39b32fb-4967-48eb,EMP004,2026-04-14 10:14:01,DEV-004-101,Interactive,False,New York,True
2c134206-6010-4f75,EMP015,2026-04-14 08:29:08,DEV-015-101,Interactive,False,Bengaluru,True
6f975aa9-429a-4342,EMP022,2026-04-14 10:44:50,DEV-022-101,Interactive,False,Tokyo,True
3bfc8876-ba8c-4467,EMP023,2026-04-14 08:53:53,DEV-023-101,Interactive,False,London,True
ae374c72-b09d-41dc,EMP031,2026-04-14 09:59:14,DEV-031-101,Interactive,False,Tokyo,True
e80b7e0a-3a75-44d9,EMP039,2026-04-14 10:10:45,DEV-039-101,Interactive,False,San Francisco,True
0c9b2f1d-cc6c-4ea7,EMP043,2026-04-14 10:08:07,DEV-043-101,Interactive,False,New York,True
067ce645-98a9-452a,EMP045,2026-04-14 08:48:42,DEV-045-101,Interactive,False,Tokyo,True
6b513c6a-05a3-4240,EMP048,2026-04-14 10:36:10,DEV-048-101,Interactive,False,Bengaluru,True
2bb13ed4-0817-4155,EMP050,2026-04-14 08:27:40,DEV-050-101,Interactive,False,New York,True
0ec111e5-4879-41ec,EMP054,2026-04-14 08:33:02,DEV-054-101,Interactive,False,Tokyo,True
5e65be24-19c1-4820,EMP060,2026-04-14 10:19:37,DEV-060-101,Interactive,False,Tokyo,True
9ba610a0-48ca-4b15,EMP069,2026-04-14 10:55:48,DEV-069-101,Interactive,False,New York,True
b2764932-5c0a-49cb,EMP080,2026-04-14 08:35:13,DEV-080-101,Interactive,False,San Francisco,True
9fbea675-11e1-4ad0,EMP082,2026-04-14 08:29:37,DEV-082-101,Interactive,False,San Francisco,True
79d7c488-36df-4eec,EMP085,2026-04-14 08:50:46,DEV-085-101,Interactive,False,London,True
94f0c241-47b0-4c99,EMP087,2026-04-14 10:24:12,DEV-087-101,Interactive,False,New York,True
782771f5-519b-42c9,EMP091,2026-04-14 08:41:22,DEV-091-101,Interactive,False,London,True
21befbd3-9faf-4fda,EMP102,2026-04-14 10:44:41,DEV-102-101,Interactive,False,Bengaluru,True
b0c1f859-8fb8-4b71,EMP104,2026-04-14 09:00:11,DEV-104-101,Interactive,False,San Francisco,True
2f7a57f4-292a-4333,EMP112,2026-04-14 08:19:41,DEV-112-101,Interactive,False,London,True
dbd38cbd-eaea-4c07,EMP113,2026-04-14 08:51:29,DEV-113-101,Interactive,False,San Francisco,True
9f41f34a-d7b3-4841,EMP124,2026-04-14 10:41:11,DEV-124-101,Interactive,False,Tokyo,True
d9c7250e-0737-4132,EMP126,2026-04-14 08:33:53,DEV-126-101,Interactive,False,London,True
56b843fa-3e7f-4de5,EMP127,2026-04-14 10:49:30,DEV-127-101,Interactive,False,San Francisco,True
6e392fc1-668d-4166,EMP129,2026-04-14 08:43:18,DEV-129-101,Interactive,False,New York,True
c22a8a71-94bf-497a,EMP130,2026-04-14 09:02:20,DEV-130-101,Interactive,False,Bengaluru,True
cbb79768-840f-489d,EMP137,2026-04-14 10:54:04,DEV-137-101,Interactive,False,Bengaluru,True
220b0685-2bb2-4729,EMP139,2026-04-14 08:38:45,DEV-139-101,Interactive,False,London,True
6861ebf3-50c7-4b77,EMP143,2026-04-14 09:13:05,DEV-143-101,Interactive,False,Bengaluru,True
96b8a0a0-e619-494e,EMP148,2026-04-14 10:40:31,DEV-148-101,Interactive,False,Tokyo,True
b3aceb9b-eb72-4229,EMP001,2026-04-15 08:53:27,DEV-001-101,Interactive,False,Tokyo,True
0e2291e2-91ab-4204,EMP002,2026-04-15 10:38:20,DEV-002-101,Interactive,False,New York,True
fccc7eae-4d40-4210,EMP003,2026-04-15 10:33:18,DEV-003-101,Interactive,False,Bengaluru,True
be052324-379a-4d76,EMP004,2026-04-15 09:20:12,DEV-004-101,Interactive,False,New York,True
2107f135-9b5c-40b4,EMP021,2026-04-15 09:28:00,DEV-021-101,Interactive,False,San Francisco,True
9f4177aa-a79f-4644,EMP027,2026-04-15 09:36:31,DEV-027-101,Interactive,False,San Francisco,True
60377bae-12e4-4e2e,EMP031,2026-04-15 10:43:43,DEV-031-101,Interactive,False,Tokyo,True
50121226-ec9f-432d,EMP035,2026-04-15 10:13:37,DEV-035-101,Interactive,False,New York,True
692694e3-a2f5-46b2,EMP038,2026-04-15 08:30:58,DEV-038-101,Interactive,False,San Francisco,True
b30d3c40-4779-4f55,EMP039,2026-04-15 08:25:09,DEV-039-101,Interactive,False,San Francisco,True
75b1f34d-beff-4a3c,EMP041,2026-04-15 09:53:51,DEV-041-101,Interactive,False,Bengaluru,True
923bcc5a-56ea-451b,EMP043,2026-04-15 08:31:28,DEV-043-101,Interactive,False,New York,True
7a239e88-e2fb-4065,EMP045,2026-04-15 08:47:53,DEV-045-101,Interactive,False,Tokyo,True
474f45f9-d2bb-4ed5,EMP048,2026-04-15 09:22:28,DEV-048-101,Interactive,False,Bengaluru,True
9fd68c98-557e-4b8d,EMP056,2026-04-15 08:42:16,DEV-056-101,Interactive,False,Bengaluru,True
45aaa680-7d26-4eaa,EMP066,2026-04-15 10:02:43,DEV-066-101,Interactive,False,London,True
75a322ab-2bc0-490b,EMP067,2026-04-15 09:34:18,DEV-067-101,Interactive,False,Bengaluru,True
6a532016-368b-4b41,EMP076,2026-04-15 09:02:27,DEV-076-101,Interactive,False,San Francisco,True
ed20780c-8f38-4766,EMP078,2026-04-15 09:56:24,DEV-078-101,Interactive,False,London,True
4cfb1a99-0459-4e4e,EMP081,2026-04-15 10:39:47,DEV-081-101,Interactive,False,New York,True
8ae4788f-b5de-485e,EMP082,2026-04-15 08:18:53,DEV-082-101,Interactive,False,San Francisco,True
d7c1a7f9-a82c-4ca1,EMP087,2026-04-15 09:21:55,DEV-087-101,Interactive,False,New York,True
9fb56f18-a6be-4eee,EMP088,2026-04-15 08:15:41,DEV-088-101,Interactive,False,Tokyo,True
5d460d9a-7307-4ece,EMP099,2026-04-15 09:40:56,DEV-099-101,Interactive,False,New York,True
d616fbc6-5e85-4f35,EMP101,2026-04-15 10:18:21,DEV-101-101,Interactive,False,New York,True
e22f2171-682c-4826,EMP102,2026-04-15 10:35:49,DEV-102-101,Interactive,False,Bengaluru,True
48dba822-a55f-4ea3,EMP106,2026-04-15 08:26:11,DEV-106-101,Interactive,False,New York,True
0e857528-397e-4a2e,EMP109,2026-04-15 08:31:50,DEV-109-101,Interactive,False,London,True
1e595152-373d-4bd1,EMP115,2026-04-15 09:20:58,DEV-115-101,Interactive,False,San Francisco,True
4749030c-89bb-4db9,EMP120,2026-04-15 09:59:09,DEV-120-101,Interactive,False,San Francisco,True
d0130d63-1b51-4240,EMP127,2026-04-15 08:50:36,DEV-127-101,Interactive,False,San Francisco,True
1edbd1c1-b83d-4f44,EMP135,2026-04-15 08:46:45,DEV-135-101,Interactive,False,London,True
6b067bb0-1138-4c5c,EMP138,2026-04-15 08:25:03,DEV-138-101,Interactive,False,London,True
9fb712e8-3b47-4143,EMP141,2026-04-15 08:50:37,DEV-141-101,Interactive,False,London,True
279edf2f-4d89-44eb,EMP145,2026-04-15 10:11:50,DEV-145-101,Interactive,False,New York,True
e6c1c97e-01e0-4723,EMP147,2026-04-15 09:51:12,DEV-147-101,Interactive,False,London,True
04ce51b1-0d31-402f,EMP008,2026-04-16 09:39:01,DEV-008-101,Interactive,False,London,True
a8c2be5e-1861-4897,EMP010,2026-04-16 09:48:27,DEV-010-101,Interactive,False,New York,True
90446ed5-1b4c-4be9,EMP012,2026-04-16 10:05:17,DEV-012-101,Interactive,False,London,True
309dd089-156d-491f,EMP015,2026-04-16 08:38:44,DEV-015-101,Interactive,False,Bengaluru,True
